1775804426.213,0.1417,0.0808,-0.0190,-0.1408,-0.0847,0.0227,0.0009,-0.0040,0.0038,0.0045
1775804426.263,0.2068,-0.0988,-0.0114,-0.2059,0.0949,0.0151,0.0009,-0.0040,0.0038,0.0033
1775804426.314,0.2195,-0.1522,0.0840,-0.2186,0.1483,-0.0802,0.0009,-0.0040,0.0038,0.0039
1775804426.364,0.0058,-0.1643,0.0029,-0.0049,0.1603,0.0009,0.0009,-0.0040,0.0038,0.0033
1775804426.414,-0.0730,-0.0772,0.0815,0.0742,0.0729,-0.0779,0.0012,-0.0043,0.0035,0.0020
1775804426.462,-0.0281,0.1159,-0.0080,0.0292,-0.1204,0.0116,0.0011,-0.0045,0.0036,0.0035
1775804426.512,0.0061,0.0718,0.0404,-0.0052,-0.0764,-0.0373,0.0009,-0.0046,0.0031,0.0067
1775804426.562,0.0366,0.1507,0.0245,-0.0354,-0.1549,-0.0210,0.0012,-0.0042,0.0035,0.0083
1775804426.612,0.1289,0.0939,-0.0236,-0.1276,-0.0975,0.0276,0.0013,-0.0036,0.0040,0.0068
1775804426.662,0.0627,-0.0336,0.0571,-0.0613,0.0299,-0.0534,0.0014,-0.0037,0.0037,0.0055
1775804426.712,0.0013,-0.0331,0.0308,0.0003,0.0290,-0.0271,0.0015,-0.0041,0.0037,0.0024
1775804426.762,0.0014,-0.0636,0.0085,0.0001,0.0591,-0.0046,0.0015,-0.0045,0.0039,0.0017
1775804426.812,0.0020,-0.0722,-0.0270,-0.0005,0.0677,0.0312,0.0015,-0.0046,0.0042,0.0029
1775804426.862,-0.0765,0.0155,-0.0269,0.0780,-0.0205,0.0307,0.0015,-0.0050,0.0038,0.0038
1775804426.912,0.0330,0.1290,-0.0202,-0.0316,-0.1334,0.0239,0.0015,-0.0045,0.0037,0.0052
1775804426.962,0.0453,0.0628,0.0582,-0.0436,-0.0672,-0.0548,0.0016,-0.0044,0.0034,0.0050
1775804427.012,0.0452,0.0017,0.0402,-0.0434,-0.0058,-0.0365,0.0018,-0.0041,0.0037,0.0043
1775804427.063,0.0280,0.0370,0.0054,-0.0261,-0.0403,-0.0013,0.0019,-0.0033,0.0041,0.0028
