1775804341.177, 22.5439927406,114.0076888664,19.2905,1.6754,15.6797,0.0038,0.0000
1775804341.277, 22.5439906306,114.0076737486,19.3209,1.6624,15.6203,0.0117,0.0001
1775804341.377, 22.5439885449,114.0076586710,19.3417,1.5768,15.6088,0.0161,0.0002
1775804341.477, 22.5439865043,114.0076436309,19.3560,1.6603,15.6461,0.0172,0.0004
1775804341.577, 22.5439845117,114.0076285466,19.3702,1.7778,15.6327,0.0194,0.0005
1775804341.677, 22.5439825732,114.0076134782,19.3890,1.8097,15.6329,0.0068,0.0005
1775804341.777, 22.5439806568,114.0075983902,19.4047,1.8393,15.6037,0.0215,0.0007
1775804341.877, 22.5439787696,114.0075833528,19.4218,1.9701,15.5850,0.0201,0.0008
1775804341.977, 22.5439768615,114.0075683612,19.4392,1.9497,15.5343,0.0283,0.0010
1775804342.077, 22.5439750833,114.0075533980,19.4582,1.9511,15.5045,0.0326,0.0012
1775804342.177, 22.5439732892,114.0075384574,19.4788,1.8563,15.4566,0.0385,0.0014
1775804342.277, 22.5439715590,114.0075235713,19.4967,1.9162,15.4009,0.0328,0.0016
1775804342.377, 22.5439698108,114.0075087383,19.5123,1.8894,15.3502,0.0412,0.0019
1775804342.477, 22.5439680995,114.0074939452,19.5272,1.8486,15.2900,0.0506,0.0022
1775804342.577, 22.5439663414,114.0074792095,19.5407,1.7971,15.2323,0.0691,0.0026
1775804342.677, 22.5439646291,114.0074645310,19.5543,1.6570,15.1752,0.0747,0.0031
1775804342.777, 22.5439628695,114.0074499571,19.5717,1.6904,15.1212,0.0785,0.0037
1775804342.877, 22.5439611990,114.0074354471,19.5892,1.6266,15.0817,0.0808,0.0042
1775804342.977, 22.5439595597,114.0074209695,19.6071,1.5627,15.0434,0.0954,0.0049
1775804343.077, 22.5439579009,114.0074064756,19.6245,1.7638,15.0196,0.1017,0.0055
1775804343.177, 22.5439562338,114.0073920760,19.6484,1.8234,15.0023,0.0996,0.0061
1775804343.277, 22.5439546143,114.0073775827,19.6657,1.7667,15.0057,0.1010,0.0067
1775804343.377, 22.5439530146,114.0073630436,19.6823,1.6509,15.0351,0.1120,0.0075
1775804343.477, 22.5439514634,114.0073485482,19.6947,1.8507,15.0575,0.1081,0.0081
1775804343.577, 22.5439498846,114.0073339690,19.7132,1.8366,15.0881,0.1213,0.0089
1775804343.677, 22.5439483156,114.0073193753,19.7304,1.9192,15.1167,0.1281,0.0096
1775804343.777, 22.5439467363,114.0073047117,19.7488,1.9105,15.1543,0.1311,0.0104
1775804343.877, 22.5439451912,114.0072900079,19.7662,1.8955,15.1922,0.1367,0.0112
1775804343.977, 22.5439436525,114.0072752784,19.7827,1.9215,15.2273,0.1404,0.0120
1775804344.077, 22.5439421097,114.0072605012,19.8009,1.6745,15.2614,0.1436,0.0129
1775804344.177, 22.5439405774,114.0072457286,19.8184,1.9676,15.2912,0.1448,0.0137
1775804344.277, 22.5439390309,114.0072309359,19.8340,2.0686,15.3190,0.1534,0.0146
1775804344.377, 22.5439375130,114.0072160853,19.8500,2.0848,15.3522,0.1607,0.0154
1775804344.477, 22.5439359908,114.0072012103,19.8659,2.1026,15.3846,0.1709,0.0163
1775804344.577, 22.5439344711,114.0071862725,19.8800,1.8045,15.4182,0.1832,0.0175
1775804344.677, 22.5439329938,114.0071713501,19.8934,1.8557,15.4442,0.1851,0.0186
1775804344.777, 22.5439314797,114.0071563677,19.9102,2.1793,15.4731,0.1963,0.0196
1775804344.877, 22.5439299973,114.0071413748,19.9272,2.0336,15.4927,0.1950,0.0207
1775804344.977, 22.5439284956,114.0071263896,19.9434,2.0393,15.5039,0.1983,0.0217
1775804345.077, 22.5439270133,114.0071113784,19.9599,2.0402,15.5185,0.2047,0.0229
1775804345.177, 22.5439255471,114.0070963527,19.9801,2.0391,15.5376,0.2105,0.0240
1775804345.277, 22.5439240897,114.0070812916,19.9931,1.9030,15.5430,0.2149,0.0252
1775804345.377, 22.5439226339,114.0070662151,20.0089,2.1952,15.5538,0.2143,0.0263
1775804345.477, 22.5439211837,114.0070511393,20.0202,1.9741,15.5657,0.2117,0.0275
1775804345.577, 22.5439197191,114.0070360727,20.0250,2.0373,15.5768,0.2173,0.0287
1775804345.677, 22.5439182089,114.0070209968,20.0265,2.0209,15.5919,0.2252,0.0299
1775804345.777, 22.5439166928,114.0070059057,20.0328,2.1725,15.6013,0.2213,0.0310
1775804345.877, 22.5439152907,114.0069908163,20.0361,2.0253,15.6017,0.2256,0.0322
1775804345.977, 22.5439139119,114.0069756961,20.0519,2.3057,15.6037,0.2192,0.0332
1775804346.077, 22.5439125099,114.0069605794,20.0622,1.9979,15.6159,0.2195,0.0344
1775804346.177, 22.5439111131,114.0069454405,20.0765,2.0218,15.6195,0.2131,0.0355
1775804346.277, 22.5439097630,114.0069303097,20.0931,2.0439,15.6283,0.2063,0.0366
1775804346.377, 22.5439084321,114.0069151530,20.1106,2.0880,15.6344,0.2052,0.0376
1775804346.477, 22.5439071347,114.0069000139,20.1227,2.1085,15.6368,0.2003,0.0385
1775804346.577, 22.5439057539,114.0068848888,20.1333,2.1332,15.6354,0.1987,0.0395
1775804346.677, 22.5439043606,114.0068697299,20.1497,1.9578,15.6354,0.2008,0.0405
1775804346.777, 22.5439030143,114.0068545763,20.1654,2.3090,15.6394,0.1948,0.0414
1775804346.877, 22.5439017138,114.0068394352,20.1833,2.0109,15.6371,0.2010,0.0424
1775804346.977, 22.5439003972,114.0068242792,20.2039,2.1952,15.6383,0.2059,0.0433
1775804347.077, 22.5438990238,114.0068091546,20.2181,1.7314,15.6361,0.2044,0.0445
1775804347.177, 22.5438976829,114.0067939970,20.2328,2.0484,15.6345,0.2037,0.0454
1775804347.277, 22.5438962994,114.0067788448,20.2500,1.6536,15.6306,0.2085,0.0466
1775804347.377, 22.5438949200,114.0067636865,20.2674,1.7260,15.6274,0.2152,0.0478
1775804347.477, 22.5438935495,114.0067485360,20.2848,1.7192,15.6220,0.2180,0.0490
1775804347.577, 22.5438921471,114.0067333733,20.2993,1.6903,15.6181,0.2266,0.0503
1775804347.676, 22.5438907385,114.0067182182,20.3113,1.6964,15.6043,0.2430,0.0516
1775804347.776, 22.5438893250,114.0067030900,20.3212,2.1306,15.5818,0.2495,0.0528
1775804347.876, 22.5438878781,114.0066879670,20.3330,1.6726,15.5590,0.2689,0.0544
1775804347.976, 22.5438864421,114.0066728886,20.3443,2.1146,15.5341,0.2684,0.0556
1775804348.076, 22.5438849766,114.0066578238,20.3606,1.6253,15.4944,0.2740,0.0572
1775804348.176, 22.5438835083,114.0066428041,20.3773,1.7886,15.4579,0.2754,0.0587
1775804348.276, 22.5438820212,114.0066278173,20.3960,1.5712,15.4058,0.2771,0.0603
1775804348.376, 22.5438805263,114.0066128885,20.4138,1.7521,15.3460,0.2725,0.0618
1775804348.476, 22.5438790156,114.0065980183,20.4321,1.5932,15.2846,0.2707,0.0633
1775804348.576, 22.5438775093,114.0065832301,20.4468,1.8286,15.2242,0.2618,0.0646
1775804348.676, 22.5438759856,114.0065684859,20.4635,1.6663,15.1659,0.2591,0.0659
1775804348.776, 22.5438744890,114.0065538274,20.4785,2.0785,15.1053,0.2313,0.0669
