1775804341.177, 22.5439384765,114.0076175669,24.5151,0.0144,15.6774,0.0052,0.0002
1775804341.277, 22.5439363091,114.0076025014,24.5405,0.0144,15.6229,0.0070,0.0004
1775804341.377, 22.5439341979,114.0075874563,24.5641,0.0144,15.6073,0.0038,0.0005
1775804341.477, 22.5439321556,114.0075723720,24.5954,0.0144,15.6205,0.0163,0.0010
1775804341.577, 22.5439301480,114.0075572973,24.6275,0.0144,15.6416,0.0131,0.0013
1775804341.677, 22.5439281230,114.0075421781,24.6598,0.0166,15.6203,0.0355,0.0024
1775804341.777, 22.5439261448,114.0075270902,24.6956,0.0166,15.6137,0.0235,0.0030
1775804341.877, 22.5439241991,114.0075120372,24.7253,0.0158,15.5796,0.0212,0.0035
1775804341.977, 22.5439223246,114.0074970248,24.7588,0.0158,15.5239,0.0099,0.0037
1775804342.077, 22.5439204521,114.0074820638,24.7921,0.0158,15.4931,0.0193,0.0042
1775804342.177, 22.5439186617,114.0074671544,24.8228,0.0158,15.4331,0.0128,0.0045
1775804342.277, 22.5439168759,114.0074523078,24.8513,0.0158,15.3748,0.0150,0.0048
1775804342.377, 22.5439150870,114.0074375171,24.8783,0.0172,15.3216,0.0209,0.0053
1775804342.477, 22.5439133515,114.0074227674,24.9041,0.0180,15.2531,0.0218,0.0057
1775804342.577, 22.5439116034,114.0074080764,24.9311,0.0239,15.1898,0.0247,0.0063
1775804342.677, 22.5439099092,114.0073934450,24.9573,0.0172,15.1271,0.0315,0.0070
1775804342.777, 22.5439081852,114.0073788738,24.9844,0.0194,15.0834,0.0350,0.0078
1775804342.877, 22.5439065114,114.0073643400,25.0107,0.0172,15.0554,0.0418,0.0088
1775804342.977, 22.5439048228,114.0073498432,25.0369,0.0164,15.0213,0.0469,0.0099
1775804343.077, 22.5439031558,114.0073353539,25.0629,0.0122,15.0011,0.0461,0.0110
1775804343.177, 22.5439014825,114.0073208861,25.0868,0.0122,14.9977,0.0479,0.0121
1775804343.277, 22.5438998358,114.0073063954,25.1090,0.0136,15.0022,0.0509,0.0132
1775804343.377, 22.5438981718,114.0072918910,25.1312,0.0136,15.0320,0.0508,0.0143
1775804343.477, 22.5438965382,114.0072773596,25.1532,0.0136,15.0626,0.0499,0.0153
1775804343.577, 22.5438948872,114.0072627933,25.1777,0.0122,15.0904,0.0507,0.0164
1775804343.677, 22.5438932539,114.0072481990,25.1997,0.0122,15.1167,0.0518,0.0174
1775804343.777, 22.5438916165,114.0072335472,25.2210,0.0122,15.1514,0.0537,0.0185
1775804343.877, 22.5438900006,114.0072188622,25.2390,0.0122,15.1875,0.0540,0.0196
1775804343.977, 22.5438883962,114.0072041513,25.2556,0.0136,15.2211,0.0518,0.0205
1775804344.077, 22.5438867972,114.0071894163,25.2725,0.0108,15.2521,0.0423,0.0212
1775804344.177, 22.5438852106,114.0071747207,25.2900,0.0108,15.2832,0.0434,0.0218
1775804344.277, 22.5438836157,114.0071599326,25.3073,0.0108,15.3121,0.0442,0.0225
1775804344.377, 22.5438820330,114.0071450977,25.3223,0.0108,15.3449,0.0457,0.0232
1775804344.477, 22.5438804535,114.0071302383,25.3364,0.0108,15.3773,0.0464,0.0239
1775804344.577, 22.5438788822,114.0071153439,25.3503,0.0122,15.4094,0.0439,0.0245
1775804344.677, 22.5438773341,114.0071004410,25.3668,0.0122,15.4374,0.0396,0.0250
1775804344.777, 22.5438757765,114.0070854875,25.3867,0.0128,15.4645,0.0420,0.0255
1775804344.877, 22.5438742301,114.0070705191,25.4111,0.0150,15.4847,0.0444,0.0260
1775804344.977, 22.5438726624,114.0070555417,25.4419,0.0200,15.4987,0.0589,0.0270
1775804345.077, 22.5438711074,114.0070405584,25.4693,0.0150,15.5136,0.0578,0.0279
1775804345.177, 22.5438695929,114.0070255565,25.4892,0.0142,15.5323,0.0377,0.0282
1775804345.277, 22.5438680981,114.0070105363,25.5078,0.0136,15.5439,0.0332,0.0284
1775804345.377, 22.5438666052,114.0069955046,25.5346,0.0186,15.5472,0.0383,0.0287
1775804345.477, 22.5438651038,114.0069804577,25.5587,0.0194,15.5596,0.0495,0.0293
1775804345.577, 22.5438635846,114.0069653980,25.5848,0.0244,15.5770,0.0605,0.0302
1775804345.677, 22.5438620844,114.0069503361,25.6073,0.0258,15.5875,0.0486,0.0308
1775804345.777, 22.5438605957,114.0069352534,25.6345,0.0280,15.5981,0.0453,0.0312
1775804345.877, 22.5438591536,114.0069201752,25.6592,0.0222,15.6005,0.0274,0.0311
1775804345.977, 22.5438577308,114.0069051028,25.6867,0.0200,15.6017,0.0143,0.0306
1775804346.077, 22.5438563005,114.0068900240,25.7160,0.0178,15.6124,0.0221,0.0303
1775804346.177, 22.5438548635,114.0068749253,25.7421,0.0186,15.6188,0.0271,0.0302
1775804346.277, 22.5438534476,114.0068598202,25.7620,0.0294,15.6242,0.0227,0.0300
1775804346.377, 22.5438520564,114.0068447077,25.7813,0.0264,15.6300,0.0155,0.0296
1775804346.477, 22.5438506762,114.0068296016,25.8060,0.0258,15.6333,0.0067,0.0289
1775804346.577, 22.5438492964,114.0068144940,25.8289,0.0250,15.6322,0.0051,0.0282
