1775804341.1765, 0.000, 0.006,        0.0000, 0.000, 0.000, 0.000
1775804341.2765, 0.000, 0.008,        0.0000, 0.000, 0.000, 0.000
1775804341.3765, 0.001, 0.004,        0.0000, 0.000, 0.000, 0.000
1775804341.4765, 0.003, 0.016,        0.0000, 0.000, 0.000, 0.000
1775804341.5765, 0.004, 0.013,        0.0000, 0.000, 0.000, 0.000
1775804341.6765, 0.005, 0.035,        0.0000, 0.000, 0.000, 0.000
1775804341.7765, 0.006, 0.023,        0.0000, 0.000, 0.000, 0.000
1775804341.8765, 0.007, 0.021,        0.0000, 0.000, 0.000, 0.000
1775804341.9765, 0.008, 0.010,        0.0000, 0.000, 0.000, 0.000
1775804342.0765, 0.009, 0.020,        0.0000, 0.000, 0.000, 0.000
1775804342.1765, 0.010, 0.013,        0.0000, 0.000, 0.000, 0.000
1775804342.2765, 0.011, 0.015,1775804342.2765, 0.188, 0.049, 0.146
1775804342.3765, 0.012, 0.021,1775804342.2765, 0.188, 0.049, 0.146
1775804342.4765, 0.013, 0.022,1775804342.2765, 0.188, 0.049, 0.146
1775804342.5765, 0.014, 0.026,1775804342.2765, 0.188, 0.049, 0.146
1775804342.6765, 0.015, 0.032,1775804342.2765, 0.188, 0.049, 0.146
1775804342.7765, 0.016, 0.036,1775804342.2765, 0.188, 0.049, 0.146
1775804342.8765, 0.016, 0.043,1775804342.2765, 0.188, 0.049, 0.146
1775804342.9765, 0.017, 0.048,1775804342.2765, 0.188, 0.049, 0.146
1775804343.0765, 0.017, 0.047,1775804342.2765, 0.188, 0.049, 0.146
1775804343.1765, 0.018, 0.049,1775804342.2765, 0.188, 0.049, 0.146
1775804343.2765, 0.018, 0.052,1775804342.2765, 0.188, 0.049, 0.146
1775804343.3765, 0.018, 0.052,1775804342.2765, 0.188, 0.049, 0.146
1775804343.4765, 0.018, 0.051,1775804343.4765, 0.194, 0.134, 0.092
1775804343.5765, 0.019, 0.052,1775804343.4765, 0.194, 0.134, 0.092
1775804343.6765, 0.019, 0.053,1775804343.4765, 0.194, 0.134, 0.092
1775804343.7765, 0.019, 0.055,1775804343.4765, 0.194, 0.134, 0.092
1775804343.8765, 0.019, 0.055,1775804343.4765, 0.194, 0.134, 0.092
1775804343.9765, 0.020, 0.053,1775804343.4765, 0.194, 0.134, 0.092
1775804344.0765, 0.020, 0.043,1775804343.4765, 0.194, 0.134, 0.092
1775804344.1765, 0.020, 0.044,1775804343.4765, 0.194, 0.134, 0.092
1775804344.2765, 0.021, 0.045,1775804343.4765, 0.194, 0.134, 0.092
1775804344.3765, 0.021, 0.046,1775804343.4765, 0.194, 0.134, 0.092
1775804344.4765, 0.021, 0.047,1775804343.4765, 0.194, 0.134, 0.092
1775804344.5765, 0.022, 0.044,1775804343.4765, 0.194, 0.134, 0.092
1775804344.6765, 0.022, 0.040,1775804344.6765, 0.146, 0.108, 0.101
1775804344.7765, 0.023, 0.042,1775804344.6765, 0.146, 0.108, 0.101
1775804344.8765, 0.023, 0.044,1775804344.6765, 0.146, 0.108, 0.101
1775804344.9765, 0.024, 0.058,1775804344.6765, 0.146, 0.108, 0.101
1775804345.0765, 0.024, 0.057,1775804344.6765, 0.146, 0.108, 0.101
1775804345.1765, 0.024, 0.038,1775804344.6765, 0.146, 0.108, 0.101
1775804345.2765, 0.025, 0.033,1775804344.6765, 0.146, 0.108, 0.101
1775804345.3765, 0.025, 0.038,1775804344.6765, 0.146, 0.108, 0.101
1775804345.4765, 0.026, 0.049,1775804344.6765, 0.146, 0.108, 0.101
1775804345.5765, 0.026, 0.060,1775804344.6765, 0.146, 0.108, 0.101
1775804345.6765, 0.026, 0.048,1775804344.6765, 0.146, 0.108, 0.101
1775804345.7765, 0.027, 0.045,1775804344.6765, 0.146, 0.108, 0.101
1775804345.8765, 0.027, 0.027,1775804345.8765, 0.102, 0.095, 0.083
1775804345.9765, 0.028, 0.014,1775804345.8765, 0.102, 0.095, 0.083
1775804346.0765, 0.029, 0.022,1775804345.8765, 0.102, 0.095, 0.083
1775804346.1765, 0.030, 0.027,1775804345.8765, 0.102, 0.095, 0.083
1775804346.2765, 0.031, 0.023,1775804345.8765, 0.102, 0.095, 0.083
1775804346.3765, 0.032, 0.015,1775804345.8765, 0.102, 0.095, 0.083
1775804346.4765, 0.033, 0.007,1775804345.8765, 0.102, 0.095, 0.083
1775804346.5765, 0.035, 0.005,1775804345.8765, 0.102, 0.095, 0.083
1775804346.6765, 0.036, 0.012,1775804345.8765, 0.102, 0.095, 0.083
1775804346.7765, 0.037, 0.017,1775804345.8765, 0.102, 0.095, 0.083
1775804346.8765, 0.038, 0.018,1775804345.8765, 0.102, 0.095, 0.083
1775804346.9765, 0.039, 0.048,1775804345.8765, 0.102, 0.095, 0.083
1775804347.0765, 0.040, 0.046,1775804347.0765, 0.046, 0.062, 0.046
