1775804341.1765,5906875.598,0.000,0.004,65.706,65.706,-0.000,3,0,0.041,0.002,-0.003
 1775804341.2765,1.568,0.000,0.012,260.919,261.278,-0.359,3,0,0.025,-0.007,-0.009
 1775804341.3765,1.568,0.000,0.016,261.046,261.141,-0.095,3,0,0.165,-0.009,-0.013
 1775804341.4765,1.573,0.000,0.017,261.121,261.324,-0.203,3,0,0.052,-0.015,-0.009
 1775804341.5765,1.563,0.000,0.019,261.507,261.623,-0.116,3,0,0.134,-0.018,-0.008
 1775804341.6765,1.568,0.000,0.007,262.454,261.890,0.564,3,0,0.153,-0.002,-0.007
 1775804341.7765,1.559,0.000,0.022,261.674,261.722,-0.048,3,0,0.389,-0.003,-0.021
 1775804341.8765,1.563,0.000,0.020,262.290,261.808,0.482,3,0,0.456,0.010,-0.017
 1775804341.9765,1.557,0.000,0.028,262.510,261.984,0.526,3,0,0.292,0.025,-0.014
 1775804342.0765,1.554,0.000,0.033,262.029,262.126,-0.097,3,0,0.430,0.022,-0.024
 
