1775804341.1765, 22.5439955236,114.0077046860,20.279, 0.000, 0.250, 0.004, 0.000,0,48.000
1775804341.2765, 22.5439933677,114.0076895577,20.302, 0.000, 0.496, 0.012, 0.000,0,48.000
1775804341.3765, 22.5439911819,114.0076744594,20.326, 0.000, 0.740, 0.016, 0.000,0,48.000
1775804341.4765, 22.5439890462,114.0076593912,20.352, 0.000, 0.984, 0.017, 0.000,0,48.000
1775804341.5765, 22.5439869906,114.0076443631,20.375, 0.000, 1.232, 0.019, 0.000,0,49.000
1775804341.6765, 22.5439849948,114.0076292849,20.397, 0.000, 1.478, 0.007, 0.000,0,49.000
1775804341.7765, 22.5439829489,114.0076141466,20.419, 0.000, 1.723, 0.022, 0.000,0,49.000
1775804341.8765, 22.5439809434,114.0075991486,20.434, 0.000, 1.966, 0.020, 0.000,0,49.000
1775804341.9765, 22.5439789881,114.0075842007,20.460, 0.000, 2.207, 0.028, 0.000,0,49.000
1775804342.0765, 22.5439770524,114.0075691325,20.488, 0.000, 2.447, 0.033, 0.000,0,49.000
1775804342.1765, 22.5439752171,114.0075542147,20.515, 0.000, 2.689, 0.039, 0.000,0,50.000
1775804342.2765, 22.5439734420,114.0075393370,20.538, 0.000, 2.930, 0.033, 0.000,0,50.000
1775804342.3765, 22.5439716570,114.0075244894,20.555, 0.000, 3.168, 0.041, 0.000,0,50.000
1775804342.4765, 22.5439698221,114.0075096719,20.575, 0.000, 3.405, 0.051, 0.000,0,50.000
1775804342.5765, 22.5439679772,114.0074948744,20.591, 0.000, 3.639, 0.069, 0.000,0,50.000
1775804342.6765, 22.5439661725,114.0074801471,20.606, 0.000, 3.871, 0.075, 0.000,0,50.000
1775804342.7765, 22.5439644381,114.0074654899,20.630, 0.000, 4.101, 0.079, 0.000,0,50.000
1775804342.8765, 22.5439627136,114.0074508328,20.652, 0.000, 4.330, 0.081, 0.000,0,50.000
1775804342.9765, 22.5439610591,114.0074361556,20.669, 0.000, 4.557, 0.095, 0.000,0,50.000
