457155.900,0.000000,0.000000,-101.590000,-15.318000,-3.142000,0.116000,22.54403602,114.00794571,19.849000,3.000000,1.123000,1.056000,2.773000,49.000000,3.000000,0.000000,1775804339.628800
457156.000,0.000000,0.000000,-101.400000,-15.362000,-3.097000,0.149000,22.54403322,114.00793064,19.876000,3.000000,1.145000,1.082000,2.815000,49.000000,3.000000,0.000000,1775804339.732800
457156.100,0.000000,0.000000,-101.260000,-15.381000,-3.063000,0.177000,22.54403041,114.00791558,19.909000,3.000000,1.110000,1.043000,2.819000,49.000000,3.000000,0.000000,1775804339.832500
457156.200,0.000000,0.000000,-101.090000,-15.383000,-3.016000,0.152000,22.54402768,114.00790054,19.938000,3.000000,1.157000,1.106000,2.852000,49.000000,3.000000,0.000000,1775804339.931200
457156.300,0.000000,0.000000,-100.940000,-15.393000,-2.977000,0.132000,22.54402493,114.00788545,19.967000,3.000000,1.176000,1.131000,2.935000,49.000000,3.000000,0.000000,1775804340.029800
457156.400,0.000000,0.000000,-100.840000,-15.391000,-2.947000,0.132000,22.54402225,114.00787037,19.993000,3.000000,1.190000,1.100000,2.988000,49.000000,3.000000,0.000000,1775804340.128200
457156.500,0.000000,0.000000,-100.740000,-15.392000,-2.919000,0.145000,22.54401961,114.00785531,20.018000,3.000000,1.207000,1.076000,2.931000,49.000000,3.000000,0.000000,1775804340.230000
457156.600,0.000000,0.000000,-100.670000,-15.365000,-2.894000,0.111000,22.54401709,114.00784031,20.047000,3.000000,1.307000,1.138000,2.874000,49.000000,3.000000,0.000000,1775804340.328500
457156.700,0.000000,0.000000,-100.450000,-15.378000,-2.835000,0.122000,22.54401457,114.00782527,20.070000,3.000000,1.196000,1.102000,2.897000,49.000000,3.000000,0.000000,1775804340.427600
457156.800,0.000000,0.000000,-100.150000,-15.407000,-2.758000,0.147000,22.54401212,114.00781023,20.097000,3.000000,1.175000,1.070000,2.841000,49.000000,3.000000,0.000000,1775804340.527300
457156.900,0.000000,0.000000,-100.080000,-15.413000,-2.741000,0.142000,22.54400962,114.00779519,20.130000,3.000000,1.331000,1.114000,2.857000,49.000000,3.000000,0.000000,1775804340.628100
457157.000,0.000000,0.000000,-99.890000,-15.425000,-2.690000,0.125000,22.54400721,114.00778012,20.156000,3.000000,1.285000,1.126000,3.056000,48.000000,3.000000,0.000000,1775804340.729800
457157.100,0.000000,0.000000,-100.060000,-15.401000,-2.733000,0.163000,22.54400473,114.00776504,20.185000,3.000000,1.301000,1.094000,2.870000,48.000000,3.000000,0.000000,1775804340.831800
457157.200,0.000000,0.000000,-99.890000,-15.392000,-2.683000,0.129000,22.54400234,114.00774995,20.208000,3.000000,1.422000,1.117000,3.035000,48.000000,3.000000,0.000000,1775804340.931100
457157.300,0.000000,0.000000,-99.630000,-15.455000,-2.623000,0.095000,22.54399999,114.00773485,20.227000,3.000000,1.314000,1.161000,2.980000,48.000000,3.000000,0.000000,1775804341.029700
457157.400,0.000000,0.000000,-99.210000,-15.439000,-2.502000,0.120000,22.54399773,114.00771979,20.257000,3.000000,1.273000,1.093000,2.833000,48.000000,3.000000,0.000000,1775804341.127700
457157.500,0.000000,0.000000,-99.020000,-15.457000,-2.455000,0.140000,22.54399552,114.00770469,20.279000,3.000000,1.268000,1.095000,3.032000,48.000000,3.000000,0.000000,1775804341.228500
