1775804339.577, 0.055, 0.009,-0.009, 0.004, 0.850,-0.001, 0.000,0.00880,-0.069
1775804339.677, 0.055, 0.009,-0.011,-0.004, 0.852,-0.001, 0.000,0.00856,-0.072
1775804339.777, 0.054, 0.010,-0.011,-0.013, 0.843,-0.001, 0.000,0.00966,-0.070
1775804339.877, 0.054, 0.009,-0.012,-0.010, 0.845,-0.001, 0.000,0.00922,-0.071
1775804339.977, 0.055, 0.009,-0.010,-0.009, 0.847,-0.001, 0.000,0.00866,-0.068
1775804340.077, 0.055, 0.009,-0.014, 0.003, 0.849,-0.001, 0.001,0.00940,-0.069
1775804340.177, 0.055, 0.007,-0.012, 0.012, 0.852,-0.001, 0.001,0.00715,-0.072
1775804340.277, 0.056, 0.008,-0.016, 0.012, 0.868,-0.001, 0.001,0.00818,-0.077
1775804340.377, 0.056, 0.010,-0.017, 0.007, 0.870,-0.001, 0.001,0.00962,-0.082
1775804340.477, 0.056, 0.012,-0.019,-0.011, 0.872,-0.001, 0.001,0.01161,-0.093
1775804340.577, 0.056, 0.009,-0.023,-0.006, 0.874,-0.001, 0.000,0.00909,-0.103
1775804340.677, 0.057, 0.009,-0.022,-0.011, 0.876,-0.001, 0.000,0.00887,-0.109
1775804340.777, 0.055, 0.010,-0.021,-0.004, 0.847,-0.001, 0.000,0.00962,-0.106
1775804340.877, 0.055, 0.010,-0.025, 0.004, 0.850,-0.001, 0.000,0.00954,-0.110
1775804340.977, 0.055, 0.008,-0.022,-0.001, 0.852,-0.001, 0.000,0.00824,-0.112
1775804341.077, 0.055, 0.007,-0.028, 0.004, 0.854,-0.001, 0.000,0.00722,-0.112
1775804341.177, 0.055, 0.001,-0.043,-0.002, 0.856,-0.001, 0.000,0.00116,-0.111
1775804341.277, 0.056, 0.006,-0.041, 0.001, 0.862,-0.001, 0.000,0.00558,-0.106
1775804341.377, 0.056, 0.003,-0.039,-0.008, 0.864,-0.001, 0.000,0.00338,-0.101
1775804341.477, 0.056, 0.001,-0.033, 0.000, 0.867,-0.001, 0.000,0.00053,-0.091
1775804341.577, 0.056,-0.010,-0.029, 0.009, 0.869,-0.001, 0.000,-0.01016,-0.081
1775804341.677, 0.056,-0.009,-0.029, 0.024, 0.870,-0.001, 0.001,-0.00922,-0.076
1775804341.777, 0.056,-0.011,-0.031, 0.024, 0.862,-0.001, 0.001,-0.01075,-0.075
1775804341.877, 0.056,-0.018,-0.023, 0.013, 0.863,-0.001, 0.001,-0.01821,-0.066
1775804341.977, 0.056,-0.019,-0.019,-0.005, 0.863,-0.000, 0.000,-0.01917,-0.056
1775804342.077, 0.054,-0.025,-0.018,-0.019, 0.831,-0.000,-0.000,-0.02508,-0.048
1775804342.177, 0.054,-0.029,-0.015,-0.017, 0.830,-0.000,-0.000,-0.02932,-0.038
1775804342.277, 0.055,-0.028,-0.016,-0.014, 0.839,-0.000, 0.000,-0.02815,-0.035
1775804342.377, 0.055,-0.030,-0.013, 0.002, 0.838,-0.000, 0.000,-0.02951,-0.034
1775804342.477, 0.055,-0.029,-0.016, 0.004, 0.837,-0.000, 0.000,-0.02945,-0.032
1775804342.577, 0.056,-0.027,-0.014, 0.007, 0.836,-0.000, 0.000,-0.02737,-0.030
1775804342.677, 0.056,-0.027,-0.013, 0.005, 0.835,-0.000, 0.001,-0.02729,-0.028
1775804342.777, 0.056,-0.015,-0.011,-0.001, 0.831,-0.000, 0.001,-0.01468,-0.028
1775804342.877, 0.056,-0.011,-0.012, 0.004, 0.832,-0.000, 0.001,-0.01081,-0.030
1775804342.977, 0.056,-0.012,-0.010, 0.004, 0.833,-0.000, 0.000,-0.01248,-0.030
1775804343.077, 0.056, 0.003,-0.014,-0.001, 0.833,-0.000, 0.001,0.00343,-0.029
1775804343.177, 0.056, 0.000,-0.014,-0.002, 0.835,-0.000, 0.000,0.00028,-0.024
1775804343.277, 0.056, 0.016,-0.008, 0.006, 0.837,-0.000, 0.001,0.01570,-0.021
1775804343.377, 0.056, 0.019,-0.010, 0.008, 0.841,-0.000, 0.001,0.01871,-0.022
1775804343.477, 0.055, 0.017,-0.008, 0.003, 0.815,-0.000, 0.001,0.01700,-0.028
1775804343.577, 0.055, 0.017,-0.010,-0.002, 0.818,-0.000, 0.000,0.01680,-0.031
1775804343.677, 0.055, 0.021,-0.011,-0.006, 0.822,-0.000, 0.000,0.02092,-0.025
