1775804341.1765,5906882.786,0.000,0.005,65.706,65.706,-0.000,6,0,0.041,0.005,0.000
 1775804341.2765,1.568,0.000,0.007,260.877,260.810,0.067,6,0,0.025,0.007,-0.001
 1775804341.3765,1.565,0.000,0.004,260.795,261.077,-0.282,6,0,0.170,0.000,-0.004
 1775804341.4765,1.558,0.000,0.016,260.949,261.220,-0.271,6,0,0.156,-0.007,-0.015
 1775804341.5765,1.570,0.000,0.013,261.532,261.353,0.179,6,0,0.190,-0.002,-0.013
 1775804341.6765,1.562,0.000,0.036,262.315,261.314,1.001,6,0,0.293,0.026,-0.025
 1775804341.7765,1.568,0.000,0.024,261.187,261.745,-0.557,6,0,0.489,0.010,-0.021
 1775804341.8765,1.563,0.000,0.021,262.307,262.037,0.271,6,0,0.577,0.017,-0.013
 1775804341.9765,1.557,0.000,0.010,261.850,262.374,-0.523,6,0,0.422,0.003,-0.009
 1775804342.0765,1.556,0.000,0.019,262.670,262.188,0.482,6,0,0.550,0.016,-0.011
 
