1775804380.6764, 0.362, 0.148, 0.177, 0.002, 0.051,0, 0.006
1775804380.7764, 0.420, 0.182, 0.379, 0.025, 0.104,0, 0.007
1775804380.8764, 0.404, 0.208, 0.596, 0.062, 0.173,0, 0.004
1775804380.9764, 0.423, 0.232, 0.778, 0.111, 0.243,0, 0.004
1775804381.0764, 0.437, 0.254, 1.014, 0.176, 0.324,0, 0.002
1775804381.1764, 0.444, 0.273, 1.360, 0.261, 0.428,0, 0.001
1775804381.2764, 0.462, 0.289, 1.601, 0.363, 0.529,0, 0.000
1775804381.3764, 0.480, 0.303, 1.816, 0.478, 0.624,0, 0.001
1775804381.4764, 0.386, 0.303, 1.823, 0.593, 0.689,0, 0.001
1775804381.5764, 0.290, 0.293, 1.736, 0.702, 0.722,0, 0.002
1775804381.6764, 0.185, 0.270, 1.555, 0.800, 0.725,0, 0.004
1775804381.7764, 0.100, 0.236, 0.689, 0.843, 0.696,0, 0.007
1775804384.8764, 0.366, 0.210, 0.413, 0.817, 0.733,0, 0.001
1775804384.9764, 0.401, 0.215, 0.428, 0.795, 0.764,0, 0.002
1775804385.0764, 1.367, 0.407, 0.099, 0.802, 0.758,0, 0.002
1775804385.1764, 0.446, 0.416, 0.423, 0.772, 0.795,0, 0.003
1775804385.2764, 0.435, 0.428, 0.423, 0.735, 0.835,0, 0.002
1775804385.3764, 0.414, 0.440, 0.419, 0.685, 0.877,0, 0.002
1775804385.4764, 0.384, 0.451, 0.413, 0.622, 0.917,0, 0.001
1775804385.5764, 0.360, 0.460, 0.407, 0.548, 0.949,0, 0.001
1775804385.6764, 0.334, 0.468, 0.407, 0.459, 0.967,0, 0.000
1775804385.7764, 0.312, 0.473, 0.410, 0.348, 0.959,0, 0.002
1775804385.8764, 0.263, 0.472, 0.390, 0.224, 0.917,0, 0.002
1775804385.9764, 0.218, 0.465, 0.378, 0.087, 0.828,0, 0.001
1775804386.0764, 0.195, 0.458, 0.377, 0.051, 0.701,0, 0.000
1775804386.1764, 0.159, 0.450, 0.371, 0.182, 0.531,0, 0.001
1775804386.2764, 0.128, 0.443, 0.362, 0.302, 0.284,0, 0.001
1775804386.3764, 0.115, 0.443, 0.354, 0.367, 0.122,0, 0.003
1775804386.4764, 0.117, 0.443, 0.341, 0.363, 0.122,0, 0.003
1775804386.5764, 0.142, 0.442, 0.341, 0.357, 0.121,0, 0.002
1775804386.6764, 0.015, 0.010, 0.320, 0.383, 0.032,0, 0.001
